Vehicle_ID,Margin,Time,X,Y,Z
L1,3.0,202.0,100.0,55.0,10.0
L1,3.0,202.2,100.0,55.0,10.0
L1,3.0,202.4,100.0,55.0,10.0
L1,3.0,202.6,100.0,55.0,10.0
L1,3.0,202.8,100.0,55.0,10.0
L1,3.0,203.0,100.0,55.0,10.0
L1,3.0,203.2,100.0,55.0,10.0
L1,3.0,203.4,100.0,55.0,10.0
L1,3.0,203.6,100.0,55.0,10.0
L1,3.0,203.8,100.0,55.0,10.0
L1,3.0,204.0,100.0,55.0,10.0
L1,3.0,204.2,100.0,55.0,10.0
L1,3.0,204.4,100.0,55.0,10.0
L1,3.0,204.6,100.0,55.0,10.0
L1,3.0,204.8,100.0,55.0,10.0
L1,3.0,205.0,100.0,55.0,10.0
L1,3.0,205.2,100.0,55.0,10.0
L1,3.0,205.4,100.0,55.0,10.0
L1,3.0,205.6,100.0,55.0,10.0
L1,3.0,205.8,100.0,55.0,10.0
L1,3.0,206.0,100.0,55.0,10.0
L1,3.0,206.2,100.0,55.0,10.0
L1,3.0,206.4,100.0,55.0,10.0
L1,3.0,206.6,100.0,55.0,10.0
L1,3.0,206.8,100.0,55.0,10.0
L1,3.0,207.0,100.0,55.0,10.0
L1,3.0,207.2,100.0,55.0,10.0
L1,3.0,207.4,100.0,55.0,10.0
L1,3.0,207.6,100.0,55.0,10.0
L1,3.0,207.8,100.0,55.0,10.0
L1,3.0,208.0,100.0,55.0,10.0
L1,3.0,208.2,100.0,55.0,10.0
L1,3.0,208.4,100.0,55.0,10.0
L1,3.0,208.6,100.0,55.0,10.0
L1,3.0,208.8,100.0,55.0,10.0
L1,3.0,209.0,100.0,55.0,10.0
L1,3.0,209.2,100.0,55.0,10.0
L1,3.0,209.4,100.0,55.0,10.0
L1,3.0,209.6,100.0,55.0,10.0
L1,3.0,209.8,100.0,55.0,10.0
L1,3.0,210.0,100.0,55.0,10.0
L1,3.0,210.2,100.0,55.0,10.0
L1,3.0,210.4,100.0,55.0,10.0
L1,3.0,210.6,100.0,55.0,10.0
L1,3.0,210.8,100.0,55.0,10.0
L1,3.0,211.0,100.0,55.0,10.0
L1,3.0,211.2,100.0,55.0,10.0
L1,3.0,211.4,100.0,55.0,10.0
L1,3.0,211.6,100.0,55.0,10.0
L1,3.0,211.8,100.0,55.0,10.0
L1,3.0,212.0,100.0,55.0,10.0
L1,3.0,212.2,100.0,55.0,10.0
L1,3.0,212.4,100.0,55.0,10.0
L1,3.0,212.6,100.0,55.0,10.0
L1,3.0,212.8,100.0,55.0,10.0
L1,3.0,213.0,100.0,55.0,10.0
L1,3.0,213.2,100.0,55.0,10.0
L1,3.0,213.4,100.0,55.0,10.0
L1,3.0,213.6,100.0,55.0,10.0
L1,3.0,213.8,100.0,55.0,10.0
L1,3.0,214.0,100.0,55.0,10.0
L1,3.0,214.2,100.0,55.0,10.0
L1,3.0,214.4,100.0,55.0,10.0
L1,3.0,214.6,100.0,55.0,10.0
L1,3.0,214.8,100.0,55.0,10.0
L1,3.0,215.0,100.0,55.0,10.0
L1,3.0,215.2,100.0,55.0,10.0
L1,3.0,215.4,100.0,55.0,10.0
L1,3.0,215.6,100.0,55.0,10.0
L1,3.0,215.8,100.0,55.0,10.0
L1,3.0,216.0,100.0,55.0,10.0
L1,3.0,216.2,100.0,55.0,10.0
L1,3.0,216.4,100.0,55.0,10.0
L1,3.0,216.6,100.0,55.0,10.0
L1,3.0,216.8,100.0,55.0,10.0
L1,3.0,217.0,100.0,55.0,10.0
L1,3.0,217.2,100.0,55.0,10.0
L1,3.0,217.4,100.0,55.0,10.0
L1,3.0,217.6,100.0,55.0,10.0
L1,3.0,217.8,100.0,55.0,10.0
L1,3.0,218.0,100.0,55.0,10.0
L1,3.0,218.2,100.0,55.0,10.0
L1,3.0,218.4,100.0,55.0,10.0
L1,3.0,218.6,100.0,55.0,10.0
L1,3.0,218.8,100.0,55.0,10.0
L1,3.0,219.0,100.0,55.0,10.0
L1,3.0,219.2,100.0,55.0,10.0
L1,3.0,219.4,100.0,55.0,10.0
L1,3.0,219.6,100.0,55.0,10.0
L1,3.0,219.8,100.0,55.0,10.0
L1,3.0,220.0,100.0,55.0,10.0
L1,3.0,220.2,100.0,55.0,10.0
L1,3.0,220.4,100.0,55.0,10.0
L1,3.0,220.6,100.0,55.0,10.0
L1,3.0,220.8,100.0,55.0,10.0
L1,3.0,221.0,100.0,55.0,10.0
