Vehicle_ID,Margin,Time,X,Y,Z
HEAD_A,5.0,42.0,100.0,50.0,10.0
HEAD_A,5.0,42.2,100.0,50.0,10.0
HEAD_A,5.0,42.4,100.0,50.0,10.0
HEAD_A,5.0,42.6,100.0,50.0,10.0
HEAD_A,5.0,42.8,100.0,50.0,10.0
HEAD_A,5.0,43.0,100.0,50.0,10.0
HEAD_A,5.0,43.2,100.0,50.0,10.0
HEAD_A,5.0,43.4,100.0,50.0,10.0
HEAD_A,5.0,43.6,100.0,50.0,10.0
HEAD_A,5.0,43.8,100.0,50.0,10.0
HEAD_A,5.0,44.0,100.0,50.0,10.0
HEAD_A,5.0,44.2,100.0,50.0,10.0
HEAD_A,5.0,44.4,100.0,50.0,10.0
HEAD_A,5.0,44.6,100.0,50.0,10.0
HEAD_A,5.0,44.8,100.0,50.0,10.0
HEAD_A,5.0,45.0,100.0,50.0,10.0
HEAD_A,5.0,45.2,100.0,50.0,10.0
HEAD_A,5.0,45.4,100.0,50.0,10.0
HEAD_A,5.0,45.6,100.0,50.0,10.0
HEAD_A,5.0,45.8,100.0,50.0,10.0
HEAD_A,5.0,46.0,100.0,50.0,10.0
HEAD_A,5.0,46.2,100.0,50.0,10.0
HEAD_A,5.0,46.4,100.0,50.0,10.0
HEAD_A,5.0,46.6,100.0,50.0,10.0
HEAD_A,5.0,46.8,100.0,50.0,10.0
HEAD_A,5.0,47.0,100.0,50.0,10.0
HEAD_A,5.0,47.2,100.0,50.0,10.0
HEAD_A,5.0,47.4,100.0,50.0,10.0
HEAD_A,5.0,47.6,100.0,50.0,10.0
HEAD_A,5.0,47.8,100.0,50.0,10.0
HEAD_A,5.0,48.0,100.0,50.0,10.0
HEAD_A,5.0,48.2,100.0,50.0,10.0
HEAD_A,5.0,48.4,100.0,50.0,10.0
HEAD_A,5.0,48.6,100.0,50.0,10.0
HEAD_A,5.0,48.8,100.0,50.0,10.0
HEAD_A,5.0,49.0,100.0,50.0,10.0
HEAD_A,5.0,49.2,100.0,50.0,10.0
HEAD_A,5.0,49.4,100.0,50.0,10.0
HEAD_A,5.0,49.6,100.0,50.0,10.0
HEAD_A,5.0,49.8,100.0,50.0,10.0
HEAD_A,5.0,50.0,100.0,50.0,10.0
HEAD_A,5.0,50.2,100.0,50.0,10.0
HEAD_A,5.0,50.4,100.0,50.0,10.0
HEAD_A,5.0,50.6,100.0,50.0,10.0
HEAD_A,5.0,50.8,100.0,50.0,10.0
HEAD_A,5.0,51.0,100.0,50.0,10.0
HEAD_A,5.0,51.2,100.0,50.0,10.0
HEAD_A,5.0,51.4,100.0,50.0,10.0
HEAD_A,5.0,51.6,100.0,50.0,10.0
HEAD_A,5.0,51.8,100.0,50.0,10.0
HEAD_A,5.0,52.0,100.0,50.0,10.0
HEAD_A,5.0,52.2,100.0,50.0,10.0
HEAD_A,5.0,52.4,100.0,50.0,10.0
HEAD_A,5.0,52.6,100.0,50.0,10.0
HEAD_A,5.0,52.8,100.0,50.0,10.0
HEAD_A,5.0,53.0,100.0,50.0,10.0
HEAD_A,5.0,53.2,100.0,50.0,10.0
HEAD_A,5.0,53.4,100.0,50.0,10.0
HEAD_A,5.0,53.6,100.0,50.0,10.0
HEAD_A,5.0,53.8,100.0,50.0,10.0
HEAD_A,5.0,54.0,100.0,50.0,10.0
HEAD_A,5.0,54.2,100.0,50.0,10.0
HEAD_A,5.0,54.4,100.0,50.0,10.0
HEAD_A,5.0,54.6,100.0,50.0,10.0
HEAD_A,5.0,54.8,100.0,50.0,10.0
HEAD_A,5.0,55.0,100.0,50.0,10.0
HEAD_A,5.0,55.2,100.0,50.0,10.0
HEAD_A,5.0,55.4,100.0,50.0,10.0
HEAD_A,5.0,55.6,100.0,50.0,10.0
HEAD_A,5.0,55.8,100.0,50.0,10.0
HEAD_A,5.0,56.0,100.0,50.0,10.0
HEAD_A,5.0,56.2,100.0,50.0,10.0
HEAD_A,5.0,56.4,100.0,50.0,10.0
HEAD_A,5.0,56.6,100.0,50.0,10.0
HEAD_A,5.0,56.8,100.0,50.0,10.0
HEAD_A,5.0,57.0,100.0,50.0,10.0
HEAD_A,5.0,57.2,100.0,50.0,10.0
HEAD_A,5.0,57.4,100.0,50.0,10.0
HEAD_A,5.0,57.6,100.0,50.0,10.0
